mes;descrip;Todas las edades;Menores de 15 a�os;De 15 a 29 a�os;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
20050100;Varones;209;0;22;34;15;16;13;13;18;7;20;25;13;7;6;0;
20050200;Varones;206;0;24;38;23;14;15;16;7;13;12;14;14;10;6;0;
20050300;Varones;229;0;34;40;19;15;23;10;16;15;23;19;11;1;3;0;
20050400;Varones;241;2;40;36;16;21;15;14;17;16;16;21;15;8;3;1;
20050500;Varones;234;1;28;45;23;17;18;17;11;13;15;18;16;9;3;0;
20050600;Varones;235;0;31;45;25;13;16;18;6;13;12;25;16;5;7;3;
20050700;Varones;225;0;26;35;20;21;11;15;16;11;21;21;14;11;3;0;
20050800;Varones;218;1;26;35;19;15;10;13;9;19;23;20;20;6;1;1;
20050900;Varones;199;0;26;37;22;15;9;9;20;10;16;12;14;6;3;0;
20051000;Varones;220;0;34;34;31;16;13;13;10;13;23;12;11;6;4;0;
20051100;Varones;163;0;26;29;16;9;14;10;3;10;11;15;13;6;1;0;
20051200;Varones;191;0;26;40;20;13;13;9;12;16;13;7;8;10;3;1;
20060100;Varones;201;0;32;44;12;13;16;13;9;12;21;13;11;2;3;0;
20060200;Varones;169;0;17;32;14;16;16;14;16;8;14;5;9;1;7;0;
20060300;Varones;229;0;28;46;15;18;12;14;14;12;17;20;23;8;2;0;
20060400;Varones;217;0;27;38;22;18;10;17;14;8;19;16;15;11;1;1;
20060500;Varones;245;0;28;44;19;19;16;13;23;19;17;13;23;10;0;1;
20060600;Varones;238;0;31;34;24;17;19;16;14;18;25;12;13;12;3;0;
20060700;Varones;236;0;34;45;15;23;10;17;13;7;19;18;19;11;3;2;
20060800;Varones;233;1;28;31;22;20;12;23;10;16;14;25;24;5;2;0;
20060900;Varones;225;0;22;34;24;22;8;16;21;14;15;18;16;9;3;3;
20061000;Varones;213;0;17;51;20;19;15;9;17;14;11;19;10;6;5;0;
20061100;Varones;167;0;21;24;20;17;13;15;13;6;9;11;10;4;3;1;
20061200;Varones;139;1;18;23;12;15;11;4;7;5;14;17;7;4;0;1;
20070100;Varones;199;2;23;26;26;14;12;13;7;13;15;15;15;16;2;0;
20070200;Varones;188;1;29;35;14;13;13;10;10;9;12;16;14;7;2;3;
20070300;Varones;218;0;19;37;17;19;11;21;16;12;20;17;13;13;2;1;
20070400;Varones;201;0;23;30;25;11;13;12;16;13;14;18;18;5;3;0;
20070500;Varones;232;1;30;32;26;22;17;16;10;12;15;19;18;9;4;1;
20070600;Varones;229;0;22;43;22;18;11;18;17;20;17;17;14;8;2;0;
20070700;Varones;246;0;24;42;20;19;20;16;11;9;21;26;19;16;2;1;
20070800;Varones;214;0;27;37;19;17;11;16;15;12;15;18;15;11;1;0;
20070900;Varones;203;2;15;29;19;21;20;11;15;13;12;24;8;12;2;0;
20071000;Varones;187;0;22;27;16;23;17;12;12;12;9;10;16;8;3;0;
20071100;Varones;180;1;20;34;21;17;12;12;12;7;9;11;15;6;2;1;
20071200;Varones;166;0;16;28;17;14;10;8;12;13;11;9;14;11;3;0;
20080100;Varones;203;0;21;36;20;13;16;24;8;19;10;19;12;5;0;0;
20080200;Varones;203;1;30;31;18;10;11;22;13;19;14;12;10;7;5;0;
20080300;Varones;246;0;34;48;23;27;27;13;13;11;12;14;16;6;2;0;
20080400;Varones;218;1;30;44;20;23;10;10;16;17;11;15;12;6;3;0;
20080500;Varones;227;0;18;39;26;21;18;11;14;17;16;15;18;10;3;1;
20080600;Varones;258;0;25;39;26;21;19;16;16;14;22;18;24;13;2;3;
20080700;Varones;229;0;31;30;27;18;30;18;11;14;12;16;14;6;0;2;
20080800;Varones;231;0;28;44;18;28;17;16;11;8;17;23;14;4;3;0;
20080900;Varones;213;0;18;42;16;18;20;19;10;7;14;26;14;6;3;0;
20081000;Varones;234;0;26;29;31;22;19;18;14;14;20;10;16;11;4;0;
20081100;Varones;206;0;22;35;21;18;19;13;19;15;14;10;10;5;4;1;
20081200;Varones;208;0;25;38;16;20;19;19;18;12;10;13;10;5;2;1;
20090100;Varones;218;0;31;42;21;19;11;19;12;8;12;17;9;11;5;1;
20090200;Varones;208;0;23;35;19;23;21;24;14;10;8;17;8;5;1;0;
20090300;Varones;209;0;24;32;17;30;15;14;19;14;16;15;5;6;2;0;
20090400;Varones;210;0;17;33;15;24;18;14;19;11;17;17;13;9;3;0;
20090500;Varones;251;0;26;35;27;29;19;11;15;26;17;24;14;6;2;0;
20090600;Varones;247;3;28;33;18;24;27;16;19;11;18;21;15;12;2;0;
20090700;Varones;265;0;37;32;20;26;26;18;18;11;18;18;17;15;7;2;
20090800;Varones;233;2;21;31;22;22;16;19;13;17;20;22;10;15;3;0;
20090900;Varones;233;0;27;39;23;13;13;16;22;13;16;14;22;13;2;0;
20091000;Varones;219;1;23;31;20;23;20;22;13;7;15;23;14;5;2;0;
20091100;Varones;217;0;31;31;25;22;18;14;17;6;12;22;8;6;5;0;
20091200;Varones;156;1;16;26;17;9;12;9;11;13;10;11;12;8;0;1;
20100100;Hombres;223;0;21;27;22;21;29;18;18;16;12;14;10;8;5;2;
20100200;Hombres;170;0;9;26;25;12;16;8;15;14;10;17;10;6;2;0;
20100300;Hombres;235;0;21;40;24;33;26;11;15;14;11;13;16;8;3;0;
20100400;Hombres;225;1;17;38;27;15;26;15;17;15;13;18;10;12;0;1;
20100500;Hombres;259;1;22;45;21;22;28;28;14;19;17;10;22;8;2;0;
20100600;Hombres;213;0;15;30;17;23;15;15;16;13;13;21;14;17;4;0;
20100700;Hombres;207;0;20;39;24;19;18;15;11;8;13;13;16;9;2;0;
20100800;Hombres;217;0;20;34;24;18;19;17;14;10;14;19;11;11;6;0;
20100900;Hombres;199;0;17;33;26;14;26;11;10;12;9;12;14;9;5;1;
