mes;descrip;Todas las edades;Menores de 15 a�os;De 15 a 29 a�os;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
20050100;Mujeres;76;0;10;13;3;6;6;9;2;6;9;5;4;3;0;0;
20050200;Mujeres;49;0;9;5;4;3;1;6;4;1;8;1;3;3;1;0;
20050300;Mujeres;73;1;13;10;1;7;7;7;6;3;6;5;5;1;0;1;
20050400;Mujeres;66;0;1;12;4;8;2;5;8;6;9;4;1;1;5;0;
20050500;Mujeres;70;1;7;13;4;4;3;6;4;7;8;7;3;3;0;0;
20050600;Mujeres;85;0;5;19;3;5;2;11;7;9;9;5;9;0;1;0;
20050700;Mujeres;81;0;10;8;5;5;8;3;7;5;8;9;6;5;1;1;
20050800;Mujeres;74;0;7;6;8;4;3;2;4;9;8;2;11;6;4;0;
20050900;Mujeres;76;1;7;9;5;4;10;7;5;2;5;9;8;4;0;0;
20051000;Mujeres;58;0;7;10;2;4;5;2;5;6;4;7;5;1;0;0;
20051100;Mujeres;67;0;10;11;3;1;5;5;8;2;10;4;4;3;1;0;
20051200;Mujeres;54;0;7;12;7;6;4;3;4;4;3;1;2;0;1;0;
20060100;Mujeres;63;0;5;12;5;5;4;4;7;1;7;6;3;4;0;0;
20060200;Mujeres;52;1;3;10;4;4;6;2;2;4;5;6;1;3;1;0;
20060300;Mujeres;60;0;5;6;6;5;8;6;4;4;4;5;1;3;2;1;
20060400;Mujeres;68;0;9;13;4;8;9;4;5;2;3;3;5;2;1;0;
20060500;Mujeres;78;1;12;11;6;4;8;8;7;6;2;4;8;1;0;0;
20060600;Mujeres;67;1;6;12;8;4;3;1;6;5;6;3;7;4;1;0;
20060700;Mujeres;63;0;7;10;1;10;4;3;3;3;7;8;4;3;0;0;
20060800;Mujeres;69;0;3;7;4;9;6;6;6;4;8;7;8;0;1;0;
20060900;Mujeres;59;0;7;7;6;1;6;6;5;6;5;4;4;1;1;0;
20061000;Mujeres;54;0;5;8;3;3;7;4;3;2;9;3;3;4;0;0;
20061100;Mujeres;53;0;7;10;3;6;3;4;3;2;5;2;4;3;1;0;
20061200;Mujeres;48;0;2;6;6;4;4;3;6;3;6;2;4;2;0;0;
20070100;Mujeres;58;0;4;9;2;4;3;4;8;4;9;5;4;1;1;0;
20070200;Mujeres;50;1;2;14;4;4;4;6;4;3;4;1;2;1;0;0;
20070300;Mujeres;76;0;3;16;3;10;9;8;5;3;9;4;4;0;2;0;
20070400;Mujeres;56;0;2;10;6;6;3;5;7;1;4;6;5;0;1;0;
20070500;Mujeres;82;1;4;16;6;3;7;8;10;2;5;5;8;6;1;0;
20070600;Mujeres;73;2;11;13;9;9;6;1;5;3;3;1;3;5;1;1;
20070700;Mujeres;69;0;5;10;9;7;5;9;4;3;6;3;7;1;0;0;
20070800;Mujeres;81;0;8;10;4;11;8;6;6;5;5;6;5;6;1;0;
20070900;Mujeres;69;1;4;13;6;7;4;2;6;6;6;5;6;2;1;0;
20071000;Mujeres;62;0;5;6;8;4;4;5;4;5;7;8;3;3;0;0;
20071100;Mujeres;57;0;7;7;4;5;4;7;3;1;7;4;7;0;1;0;
20071200;Mujeres;67;0;6;14;6;5;4;6;10;3;4;3;5;1;0;0;
20080100;Mujeres;68;1;5;11;2;7;2;9;4;5;4;9;3;5;1;0;
20080200;Mujeres;54;0;3;6;5;5;4;3;5;6;5;5;5;2;0;0;
20080300;Mujeres;63;0;6;12;6;2;3;4;9;4;4;2;3;7;1;0;
20080400;Mujeres;65;0;5;12;11;9;5;7;4;1;3;3;2;2;1;0;
