mes;descrip;Todas las edades;Menores de 15 a�os;De 15 a 29 a�os;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
20050100;Ambos sexos;285;0;32;47;18;22;19;22;20;13;29;30;17;10;6;0;
20050200;Ambos sexos;255;0;33;43;27;17;16;22;11;14;20;15;17;13;7;0;
20050300;Ambos sexos;302;1;47;50;20;22;30;17;22;18;29;24;16;2;3;1;
20050400;Ambos sexos;307;2;41;48;20;29;17;19;25;22;25;25;16;9;8;1;
20050500;Ambos sexos;304;2;35;58;27;21;21;23;15;20;23;25;19;12;3;0;
20050600;Ambos sexos;320;0;36;64;28;18;18;29;13;22;21;30;25;5;8;3;
20050700;Ambos sexos;306;0;36;43;25;26;19;18;23;16;29;30;20;16;4;1;
20050800;Ambos sexos;292;1;33;41;27;19;13;15;13;28;31;22;31;12;5;1;
20050900;Ambos sexos;275;1;33;46;27;19;19;16;25;12;21;21;22;10;3;0;
20051000;Ambos sexos;278;0;41;44;33;20;18;15;15;19;27;19;16;7;4;0;
20051100;Ambos sexos;230;0;36;40;19;10;19;15;11;12;21;19;17;9;2;0;
20051200;Ambos sexos;245;0;33;52;27;19;17;12;16;20;16;8;10;10;4;1;
20060100;Ambos sexos;264;0;37;56;17;18;20;17;16;13;28;19;14;6;3;0;
20060200;Ambos sexos;221;1;20;42;18;20;22;16;18;12;19;11;10;4;8;0;
20060300;Ambos sexos;289;0;33;52;21;23;20;20;18;16;21;25;24;11;4;1;
20060400;Ambos sexos;285;0;36;51;26;26;19;21;19;10;22;19;20;13;2;1;
20060500;Ambos sexos;323;1;40;55;25;23;24;21;30;25;19;17;31;11;0;1;
20060600;Ambos sexos;305;1;37;46;32;21;22;17;20;23;31;15;20;16;4;0;
20060700;Ambos sexos;299;0;41;55;16;33;14;20;16;10;26;26;23;14;3;2;
20060800;Ambos sexos;302;1;31;38;26;29;18;29;16;20;22;32;32;5;3;0;
20060900;Ambos sexos;284;0;29;41;30;23;14;22;26;20;20;22;20;10;4;3;
20061000;Ambos sexos;267;0;22;59;23;22;22;13;20;16;20;22;13;10;5;0;
20061100;Ambos sexos;220;0;28;34;23;23;16;19;16;8;14;13;14;7;4;1;
20061200;Ambos sexos;187;1;20;29;18;19;15;7;13;8;20;19;11;6;0;1;
20070100;Ambos sexos;257;2;27;35;28;18;15;17;15;17;24;20;19;17;3;0;
20070200;Ambos sexos;238;2;31;49;18;17;17;16;14;12;16;17;16;8;2;3;
20070300;Ambos sexos;294;0;22;53;20;29;20;29;21;15;29;21;17;13;4;1;
20070400;Ambos sexos;257;0;25;40;31;17;16;17;23;14;18;24;23;5;4;0;
20070500;Ambos sexos;314;2;34;48;32;25;24;24;20;14;20;24;26;15;5;1;
20070600;Ambos sexos;302;2;33;56;31;27;17;19;22;23;20;18;17;13;3;1;
20070700;Ambos sexos;315;0;29;52;29;26;25;25;15;12;27;29;26;17;2;1;
20070800;Ambos sexos;295;0;35;47;23;28;19;22;21;17;20;24;20;17;2;0;
20070900;Ambos sexos;272;3;19;42;25;28;24;13;21;19;18;29;14;14;3;0;
20071000;Ambos sexos;249;0;27;33;24;27;21;17;16;17;16;18;19;11;3;0;
20071100;Ambos sexos;237;1;27;41;25;22;16;19;15;8;16;15;22;6;3;1;
20071200;Ambos sexos;233;0;22;42;23;19;14;14;22;16;15;12;19;12;3;0;
20080100;Ambos sexos;271;1;26;47;22;20;18;33;12;24;14;28;15;10;1;0;
20080200;Ambos sexos;257;1;33;37;23;15;15;25;18;25;19;17;15;9;5;0;
20080300;Ambos sexos;309;0;40;60;29;29;30;17;22;15;16;16;19;13;3;0;
20080400;Ambos sexos;283;1;35;56;31;32;15;17;20;18;14;18;14;8;4;0;
20080500;Ambos sexos;282;1;26;48;29;23;26;15;16;22;18;20;23;11;3;1;
20080600;Ambos sexos;326;0;31;46;32;25;26;20;21;20;30;23;26;19;4;3;
20080700;Ambos sexos;301;0;35;39;33;24;36;21;21;20;19;22;20;8;1;2;
20080800;Ambos sexos;296;0;35;51;30;30;19;23;17;10;25;30;19;4;3;0;
