month_code;descrip;todas_edades;menores_15;de_15_a_29;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
2012-07-01;Ambos sexos;338;0;28;48;37;31;27;26;22;25;19;33;24;17;1;0;
2012-08-01;Ambos sexos;312;1;27;35;25;27;41;22;18;20;22;23;26;18;7;0;
2012-09-01;Ambos sexos;297;0;15;47;30;36;22;28;18;23;22;24;16;10;4;2;
2012-10-01;Ambos sexos;267;0;18;42;31;24;29;16;19;15;17;19;23;10;3;1;
2012-11-01;Ambos sexos;250;0;22;37;21;16;26;20;22;15;23;15;20;5;6;2;
2012-12-01;Ambos sexos;291;1;25;53;28;37;27;26;18;12;7;29;16;9;2;1;
2013-01-01;Ambos sexos;344;2;23;45;30;41;36;29;27;26;28;23;20;12;2;0;
2013-02-01;Ambos sexos;289;0;31;34;38;29;30;16;26;19;16;14;21;14;1;0;
2013-03-01;Ambos sexos;359;0;23;49;35;45;38;30;32;20;24;26;21;12;2;2;
2013-04-01;Ambos sexos;324;2;27;46;31;36;42;32;26;20;17;21;15;7;2;0;
2013-05-01;Ambos sexos;335;0;19;43;36;41;38;31;19;29;24;17;23;11;3;1;
2013-06-01;Ambos sexos;363;1;31;45;31;31;42;31;28;20;22;31;24;18;6;2;
2013-07-01;Ambos sexos;357;0;26;46;40;41;39;26;29;25;17;22;27;8;9;2;
2013-08-01;Ambos sexos;308;2;19;52;27;29;39;24;17;21;17;22;24;11;4;0;
2013-09-01;Ambos sexos;345;1;31;51;36;36;35;27;26;20;25;21;20;12;3;1;
2013-10-01;Ambos sexos;301;0;27;40;21;25;46;25;14;19;22;22;19;15;5;1;
2013-11-01;Ambos sexos;259;1;19;30;26;31;31;23;11;17;16;21;20;11;2;0;
2013-12-01;Ambos sexos;286;0;25;37;28;27;34;30;15;21;19;14;23;6;6;1;
2014-01-01;Ambos sexos;339;2;32;45;24;34;38;27;25;25;16;23;28;12;6;2;
2014-02-01;Ambos sexos;293;0;24;47;28;34;28;34;11;26;9;14;22;13;3;0;
2014-03-01;Ambos sexos;318;1;32;39;29;40;39;30;19;17;13;23;15;16;5;0;
2014-04-01;Ambos sexos;338;3;30;40;27;33;30;20;32;27;27;17;22;19;10;1;
