19960100;01;1996;19
19960200;02;1996;19
19960300;03;1996;17
19960400;04;1996;18
19960500;05;1996;27
19960600;06;1996;19
19960700;07;1996;22
19960800;08;1996;22
19960900;09;1996;25
19961000;10;1996;29
19961100;11;1996;25
19961200;12;1996;19
19970100;01;1997;24
19970200;02;1997;22
19970300;03;1997;29
19970400;04;1997;31
19970500;05;1997;24
19970600;06;1997;39
19970700;07;1997;26
19970800;08;1997;26
19970900;09;1997;26
19971000;10;1997;25
19971100;11;1997;17
19971200;12;1997;16
19980100;01;1998;53
19980200;02;1998;33
19980300;03;1998;44
19980400;04;1998;46
19980500;05;1998;45
19980600;06;1998;19
19980700;07;1998;26
19980800;08;1998;21
19980900;09;1998;22
19981000;10;1998;17
19981100;11;1998;26
19981200;12;1998;40
19990100;01;1999;24
19990200;02;1999;22
19990300;03;1999;29
19990400;04;1999;33
19990500;05;1999;36
19990600;06;1999;20
19990700;07;1999;27
19990800;08;1999;24
19990900;09;1999;19
19991000;10;1999;28
19991100;11;1999;34
19991200;12;1999;19
20000100;01;2000;22
20000200;02;2000;13
20000300;03;2000;19
20000400;04;2000;12
20000500;05;2000;13
20000600;06;2000;22
20000700;07;2000;14
20000800;08;2000;12
20000900;09;2000;18
20001000;10;2000;4
20001100;11;2000;13
20001200;12;2000;9
20010100;01;2001;10
20010200;02;2001;9
20010300;03;2001;12
20010400;04;2001;14
20010500;05;2001;12
20010600;06;2001;6
20010700;07;2001;12
20010800;08;2001;8
20010900;09;2001;9
20011000;10;2001;14
20011100;11;2001;6
20011200;12;2001;16
20020100;01;2002;10
20020200;02;2002;16
20020300;03;2002;15
20020400;04;2002;19
20020500;05;2002;20
20020600;06;2002;12
20020700;07;2002;9
20020800;08;2002;11
20020900;09;2002;6
20021000;10;2002;13
20021100;11;2002;14
20021200;12;2002;13
20030100;01;2003;14
20030200;02;2003;25
20030300;03;2003;15
20030400;04;2003;19
20030500;05;2003;26
20030600;06;2003;12
20030700;07;2003;22
20030800;08;2003;25
20030900;09;2003;15
20031000;10;2003;19
20031100;11;2003;26
20031200;12;2003;15
20040100;01;2004;28
20040200;02;2004;31
20040300;03;2004;45
20040400;04;2004;40
20040500;05;2004;64
20040600;06;2004;58
20040700;07;2004;47
20040800;08;2004;62
20040900;09;2004;52
20041000;10;2004;35
20041100;11;2004;22
20041200;12;2004;15
20050100;01;2005;25
20050200;02;2005;19
20050300;03;2005;38
20050400;04;2005;21
20050500;05;2005;20
20050600;06;2005;21
20050700;07;2005;29
20050800;08;2005;41
20050900;09;2005;36
20051000;10;2005;17
20051100;11;2005;25
20051200;12;2005;17
20060100;01;2006;20
20060200;02;2006;32
20060300;03;2006;25
20060400;04;2006;16
20060500;05;2006;21
20060600;06;2006;19
20060700;07;2006;18
20060800;08;2006;54
20060900;09;2006;26
20061000;10;2006;30
20061100;11;2006;27
20061200;12;2006;38
20070100;01;2007;40
20070200;02;2007;48
20070300;03;2007;52
20070400;04;2007;32
20070500;05;2007;39
20070600;06;2007;21
20070700;07;2007;28
20070800;08;2007;54
20070900;09;2007;61
20071000;10;2007;19
20071100;11;2007;25
20071200;12;2007;22
20080100;01;2008;20
20080200;02;2008;34
20080300;03;2008;38
20080400;04;2008;52
20080500;05;2008;42
20080600;06;2008;46
20080700;07;2008;97
20080800;08;2008;78
20080900;09;2008;87
20081000;10;2008;49
20081100;11;2008;61
20081200;12;2008;57
20090100;01;2009;78
20090200;02;2009;104
20090300;03;2009;91
20090400;04;2009;62
20090500;05;2009;75
20090600;06;2009;59
20090700;07;2009;53
20090800;08;2009;67
20090900;09;2009;82
20091000;10;2009;98
20091100;11;2009;77
20091200;12;2009;101
20100100;01;2010;75
20100200;02;2010;140
20100300;03;2010;158
20100400;04;2010;162
20100500;05;2010;174
20100600;06;2010;195
20100700;07;2010;150
20100800;08;2010;120
20100900;09;2010;150
20101000;10;2010;159
20101100;11;2010;187
20101200;12;2010;212
20110100;01;2011;208
20110200;02;2011;160
20110300;03;2011;137
20110400;04;2011;191
20110500;05;2011;227
20110600;06;2011;153
20110700;07;2011;142
20110800;08;2011;144
20110900;09;2011;138
20111000;10;2011;142
20111100;11;2011;200
20111200;12;2011;231
20120100;01;2012;210
20120200;02;2012;160
20120300;03;2012;143
20120400;04;2012;191
20120500;05;2012;156
20120600;06;2012;136
20120700;07;2012;129
20120800;08;2012;145
20120900;09;2012;148
20121000;10;2012;178
20121100;11;2012;328
20121200;12;2012;208
20130100;01;2013;151
20130200;02;2013;194
20130300;03;2013;175
20130400;04;2013;185
20130500;05;2013;200
20130600;06;2013;199
20130700;07;2013;124
20130800;08;2013;124
20130900;09;2013;156
20131000;10;2013;140
20131100;11;2013;108
20131200;12;2013;121
20140100;01;2014;138
20140200;02;2014;176
20140300;03;2014;191
20140400;04;2014;146
20140500;05;2014;161
20140600;06;2014;166
20140700;07;2014;145
20140800;08;2014;181
20140900;09;2014;154
20141000;10;2014;147
20141100;11;2014;159
20141200;12;2014;146
20150100;01;2015;166
20150200;02;2015;131
20150300;03;2015;202
20150400;04;2015;182
20150500;05;2015;186
20150600;06;2015;153
20150700;07;2015;196
20150800;08;2015;256
20150900;09;2015;137
20151000;10;2015;200
20151100;11;2015;139
20151200;12;2015;148
20160100;01;2016;189
20160200;02;2016;153
20160300;03;2016;219
20160400;04;2016;173
20160500;05;2016;166
20160600;06;2016;154
20160700;07;2016;164
20160800;08;2016;199
20160900;09;2016;192
20161000;10;2016;186
20161100;11;2016;120
20161200;12;2016;124
20170100;01;2017;154
20170200;02;2017;144
