19960100;01;1996;31
19960200;02;1996;28
19960300;03;1996;47
19960400;04;1996;31
19960500;05;1996;38
19960600;06;1996;26
19960700;07;1996;37
19960800;08;1996;27
19960900;09;1996;31
19961000;10;1996;34
19961100;11;1996;30
19961200;12;1996;29
19970100;01;1997;29
19970200;02;1997;35
19970300;03;1997;49
19970400;04;1997;49
19970500;05;1997;34
19970600;06;1997;53
19970700;07;1997;45
19970800;08;1997;57
19970900;09;1997;53
19971000;10;1997;38
19971100;11;1997;20
19971200;12;1997;26
19980100;01;1998;66
19980200;02;1998;40
19980300;03;1998;53
19980400;04;1998;56
19980500;05;1998;48
19980600;06;1998;29
19980700;07;1998;31
19980800;08;1998;29
19980900;09;1998;39
19981000;10;1998;28
19981100;11;1998;35
19981200;12;1998;42
19990100;01;1999;30
19990200;02;1999;36
19990300;03;1999;46
19990400;04;1999;43
19990500;05;1999;46
19990600;06;1999;24
19990700;07;1999;31
19990800;08;1999;31
19990900;09;1999;23
19991000;10;1999;32
19991100;11;1999;45
19991200;12;1999;27
20000100;01;2000;27
20000200;02;2000;17
20000300;03;2000;26
20000400;04;2000;13
20000500;05;2000;18
20000600;06;2000;24
20000700;07;2000;20
20000800;08;2000;14
20000900;09;2000;24
20001000;10;2000;8
20001100;11;2000;16
20001200;12;2000;12
20010100;01;2001;12
20010200;02;2001;15
20010300;03;2001;24
20010400;04;2001;17
20010500;05;2001;24
20010600;06;2001;16
20010700;07;2001;22
20010800;08;2001;17
20010900;09;2001;73
20011000;10;2001;56
20011100;11;2001;23
20011200;12;2001;57
20020100;01;2002;35
20020200;02;2002;30
20020300;03;2002;41
20020400;04;2002;69
20020500;05;2002;55
20020600;06;2002;39
20020700;07;2002;38
20020800;08;2002;37
20020900;09;2002;31
20021000;10;2002;38
20021100;11;2002;45
20021200;12;2002;31
20030100;01;2003;31
20030200;02;2003;37
20030300;03;2003;37
20030400;04;2003;39
20030500;05;2003;82
20030600;06;2003;42
20030700;07;2003;45
20030800;08;2003;67
20030900;09;2003;57
20031000;10;2003;46
20031100;11;2003;62
20031200;12;2003;39
20040100;01;2004;48
20040200;02;2004;64
20040300;03;2004;83
20040400;04;2004;85
20040500;05;2004;103
20040600;06;2004;88
20040700;07;2004;111
20040800;08;2004;123
20040900;09;2004;105
20041000;10;2004;72
20041100;11;2004;75
20041200;12;2004;52
20050100;01;2005;52
20050200;02;2005;50
20050300;03;2005;82
20050400;04;2005;43
20050500;05;2005;47
20050600;06;2005;44
20050700;07;2005;114
20050800;08;2005;68
20050900;09;2005;58
20051000;10;2005;67
20051100;11;2005;65
20051200;12;2005;48
20060100;01;2006;63
20060200;02;2006;71
20060300;03;2006;96
20060400;04;2006;90
20060500;05;2006;69
20060600;06;2006;47
20060700;07;2006;47
20060800;08;2006;77
20060900;09;2006;57
20061000;10;2006;44
20061100;11;2006;50
20061200;12;2006;50
20070100;01;2007;73
20070200;02;2007;80
20070300;03;2007;103
20070400;04;2007;83
20070500;05;2007;87
20070600;06;2007;62
20070700;07;2007;80
20070800;08;2007;84
20070900;09;2007;108
20071000;10;2007;54
20071100;11;2007;45
20071200;12;2007;49
20080100;01;2008;58
20080200;02;2008;63
20080300;03;2008;43
20080400;04;2008;57
20080500;05;2008;53
20080600;06;2008;73
20080700;07;2008;140
20080800;08;2008;118
20080900;09;2008;114
20081000;10;2008;83
20081100;11;2008;126
20081200;12;2008;98
20090100;01;2009;119
20090200;02;2009;138
20090300;03;2009;146
20090400;04;2009;92
20090500;05;2009;131
20090600;06;2009;111
20090700;07;2009;86
20090800;08;2009;108
20090900;09;2009;126
20091000;10;2009;159
20091100;11;2009;132
20091200;12;2009;159
20100100;01;2010;136
20100200;02;2010;133
20100300;03;2010;258
20100400;04;2010;234
20100500;05;2010;228
20100600;06;2010;239
20100700;07;2010;211
20100800;08;2010;190
20100900;09;2010;222
20101000;10;2010;200
20101100;11;2010;249
20101200;12;2010;287
20110100;01;2011;296
20110200;02;2011;204
20110300;03;2011;196
20110400;04;2011;255
20110500;05;2011;307
20110600;06;2011;229
20110700;07;2011;223
20110800;08;2011;205
20110900;09;2011;201
20111000;10;2011;222
20111100;11;2011;243
20111200;12;2011;283
20120100;01;2012;254
20120200;02;2012;189
20120300;03;2012;175
20120400;04;2012;234
20120500;05;2012;212
20120600;06;2012;157
20120700;07;2012;172
20120800;08;2012;181
20120900;09;2012;185
20121000;10;2012;214
20121100;11;2012;363
20121200;12;2012;230
20130100;01;2013;175
20130200;02;2013;240
20130300;03;2013;216
20130400;04;2013;228
20130500;05;2013;245
20130600;06;2013;241
20130700;07;2013;140
20130800;08;2013;143
20130900;09;2013;206
20131000;10;2013;171
20131100;11;2013;134
20131200;12;2013;163
20140100;01;2014;204
20140200;02;2014;218
20140300;03;2014;254
20140400;04;2014;178
20140500;05;2014;178
20140600;06;2014;216
20140700;07;2014;185
20140800;08;2014;232
20140900;09;2014;183
20141000;10;2014;187
20141100;11;2014;208
20141200;12;2014;189
20150100;01;2015;272
20150200;02;2015;198
20150300;03;2015;315
20150400;04;2015;239
20150500;05;2015;231
20150600;06;2015;219
20150700;07;2015;270
20150800;08;2015;304
20150900;09;2015;158
20151000;10;2015;269
20151100;11;2015;315
20151200;12;2015;223
20160100;01;2016;266
20160200;02;2016;213
20160300;03;2016;415
20160400;04;2016;270
20160500;05;2016;260
20160600;06;2016;246
20160700;07;2016;279
20160800;08;2016;258
20160900;09;2016;218
20161000;10;2016;234
20161100;11;2016;165
20161200;12;2016;217
20170100;01;2017;211
20170200;02;2017;182
