1996-01-01;01;1996;19
1996-02-01;02;1996;19
1996-03-01;03;1996;17
1996-04-01;04;1996;18
1996-05-01;05;1996;27
1996-06-01;06;1996;19
1996-07-01;07;1996;22
1996-08-01;08;1996;22
1996-09-01;09;1996;25
1996-10-01;10;1996;29
1996-11-01;11;1996;25
1996-12-01;12;1996;19
1997-01-01;01;1997;24
1997-02-01;02;1997;22
1997-03-01;03;1997;29
1997-04-01;04;1997;31
1997-05-01;05;1997;24
1997-06-01;06;1997;39
1997-07-01;07;1997;26
1997-08-01;08;1997;26
1997-09-01;09;1997;26
1997-10-01;10;1997;25
1997-11-01;11;1997;17
1997-12-01;12;1997;16
1998-01-01;01;1998;53
1998-02-01;02;1998;33
1998-03-01;03;1998;44
1998-04-01;04;1998;46
1998-05-01;05;1998;45
1998-06-01;06;1998;19
1998-07-01;07;1998;26
1998-08-01;08;1998;21
1998-09-01;09;1998;22
1998-10-01;10;1998;17
1998-11-01;11;1998;26
1998-12-01;12;1998;40
1999-01-01;01;1999;24
1999-02-01;02;1999;22
1999-03-01;03;1999;29
1999-04-01;04;1999;33
1999-05-01;05;1999;36
1999-06-01;06;1999;20
1999-07-01;07;1999;27
1999-08-01;08;1999;24
1999-09-01;09;1999;19
1999-10-01;10;1999;28
1999-11-01;11;1999;34
1999-12-01;12;1999;19
2000-01-01;01;2000;22
2000-02-01;02;2000;13
2000-03-01;03;2000;19
2000-04-01;04;2000;12
2000-05-01;05;2000;13
2000-06-01;06;2000;22
2000-07-01;07;2000;14
2000-08-01;08;2000;12
2000-09-01;09;2000;18
2000-10-01;10;2000;4
2000-11-01;11;2000;13
2000-12-01;12;2000;9
2001-01-01;01;2001;10
2001-02-01;02;2001;9
2001-03-01;03;2001;12
2001-04-01;04;2001;14
2001-05-01;05;2001;12
2001-06-01;06;2001;6
2001-07-01;07;2001;12
2001-08-01;08;2001;8
2001-09-01;09;2001;9
2001-10-01;10;2001;14
2001-11-01;11;2001;6
2001-12-01;12;2001;16
2002-01-01;01;2002;10
2002-02-01;02;2002;16
2002-03-01;03;2002;15
2002-04-01;04;2002;19
2002-05-01;05;2002;20
2002-06-01;06;2002;12
2002-07-01;07;2002;9
2002-08-01;08;2002;11
2002-09-01;09;2002;6
2002-10-01;10;2002;13
2002-11-01;11;2002;14
2002-12-01;12;2002;13
2003-01-01;01;2003;14
2003-02-01;02;2003;25
2003-03-01;03;2003;15
2003-04-01;04;2003;19
2003-05-01;05;2003;26
2003-06-01;06;2003;12
2003-07-01;07;2003;22
2003-08-01;08;2003;25
2003-09-01;09;2003;15
2003-10-01;10;2003;19
2003-11-01;11;2003;42
2003-12-01;12;2003;41
2004-01-01;01;2004;69
2004-02-01;02;2004;63
2004-03-01;03;2004;102
2004-04-01;04;2004;101
2004-05-01;05;2004;109
2004-06-01;06;2004;159
2004-07-01;07;2004;160
2004-08-01;08;2004;180
2004-09-01;09;2004;129
2004-10-01;10;2004;110
2004-11-01;11;2004;83
2004-12-01;12;2004;89
2005-01-01;01;2005;105
2005-02-01;02;2005;57
2005-03-01;03;2005;83
2005-04-01;04;2005;45
2005-05-01;05;2005;46
2005-06-01;06;2005;47
2005-07-01;07;2005;52
2005-08-01;08;2005;75
2005-09-01;09;2005;62
2005-10-01;10;2005;46
2005-11-01;11;2005;47
2005-12-01;12;2005;41
2006-01-01;01;2006;59
2006-02-01;02;2006;55
2006-03-01;03;2006;58
2006-04-01;04;2006;42
